video,numFrame,seconds,fps,rfps,subset,featureFrame
4oArOBmwPQc,435,15,29,29,training,435
IEMCUDLQol8,232,8,29,29,training,232
PQaRQacTHe8,120,5,24,24,training,120
LLw3AAC24mA,100,4,25,25,validation,100
2DdmruSJEBE,174,6,29,29,training,174
kIk1RUHnrPY,2375,95,25,25,validation,2375
VzyKDkZwbjk,116,4,29,29,training,116
XfaJQhKdeIE,145,5,29,29,training,145
pQgY9hVOLjk,145,5,29,29,training,145
c42HtRba5-c,203,7,29,29,training,203
o40VmZ3fZh0,2010,67,30,30,validation,2010
A5uADlbD0uc,150,5,30,30,training,150
Y_B0Z-Gj7J4,150,5,30,30,null,150
NmOB_8KmRwU,150,5,30,30,training,150
Cg_J8Q0N7Uc,116,4,29,29,validation,116
Tbs7KK7Av40,150,5,30,30,training,150
PjAg3qzc5rk,725,29,25,25,training,725
5MKErNqn5qo,435,15,29,29,training,435
9381N8uOgbA,150,5,30,30,training,150
SYlX6TR558I,240,10,24,24,training,240
R5uNPtHrahA,1260,42,30,30,training,1260
Yv8sNOCelf0,150,5,30,30,training,150
HyMt4vrN3Og,2117,73,29,29,training,2117
HKge6VcQelY,150,5,30,30,training,150
JTbO2DWu-ac,150,5,30,30,validation,150
ZdNz5QT7o64,125,5,25,25,null,125
jkEcCgDpce0,125,5,25,25,training,125
HUmOXL8APx8,261,9,29,29,training,261
uw7i-LdID98,1110,37,30,30,training,1110
Jwt3MIXX2ac,960,32,30,30,training,960
fLYgM2uSO6M,145,5,29,29,training,145
giR3Y4RtmX4,150,5,30,30,training,150
jo4_zajZFZo,203,7,29,29,validation,203
3-rvbQqxuC8,174,6,29,29,training,174
srPyD9lbp5E,174,6,29,29,training,174
6BCSpdgUsbs,5300,212,25,25,training,5300
nM1XjNv9sjg,125,5,25,25,training,125
Mp-ikKsVrcw,5075,175,29,29,validation,5075
RCBBGyxJHrw,4560,190,24,24,training,4560
54b9UyVBo9o,5597,193,29,29,training,5597
M4e8ka0oZHM,725,25,29,29,null,725
eDlYHTYcj8o,750,25,30,30,training,750
MLZyFsmEQoQ,150,5,30,30,training,150
SwXPvELOKKs,150,5,30,30,training,150
v7bkzmi1h98,145,5,29,29,training,145
d1DkbvjgefM,1247,43,29,29,training,1247
WMcXjCRon9Y,1044,36,29,29,training,1044
e-T8ErrcSC4,1450,50,29,29,training,1450
Swij9ZtOj0o,145,5,29,29,null,145
hyGqfzdq5pQ,1173,51,23,23,training,1173
O5X_MOo3apE,145,5,29,29,training,145
u6S-nmm2ug8,145,5,29,29,training,145
O638RbaiD2M,150,5,30,30,training,150
9r37DDCuOZI,150,5,30,30,training,150
z4nPDJ5jpGA,150,5,30,30,training,150
PRDcR8nb1Rg,150,5,30,30,training,150
P856j7ZqtNA,145,5,29,29,validation,145
yo-f5ou0im8,145,5,29,29,validation,145
PwNDften6qk,150,5,30,30,training,150
#NAME?,150,5,30,30,training,150
U6mMNpy8Poc,150,5,30,30,training,150
I-90p1hlrMI,150,5,30,30,training,150
Vh3SbUUyTU8,145,5,29,29,null,145
01lY6CzIpjY,150,5,30,30,training,150
5Ti5iNOV62M,360,12,30,30,validation,360
qCNSGF3QB14,450,18,25,25,training,450
W9wrviTY2Q4,150,5,30,30,null,150
J9MgR37eA5Q,150,5,30,30,validation,150
A_DTSogClU4,150,5,30,30,training,150
i45rI5znuEM,150,5,30,30,training,150
1g-Mn0t9XnQ,120,6,20,20,training,120
2ByEWTCLh8E,420,14,30,30,validation,420
KL4bS2SlsKk,150,5,30,30,training,150
SAb0i-YGIWc,210,7,30,30,training,210
SN94Zyvdvko,1290,43,30,30,null,1290
cE6lMTvDSHM,150,5,30,30,training,150
syrkKI4XhYY,145,5,29,29,training,145
IiQcwM8SorI,644,28,23,23,training,644
IGU2QRSj3GY,275,11,25,25,training,275
CvJfHROT8ws,270,9,30,30,validation,270
aKtZFQhgT8E,125,5,25,25,validation,125
qlLIno5cRBM,125,5,25,25,training,125
0UCndEAGOiE,551,19,29,29,training,551
u2c2Rh9bscM,1740,58,30,30,training,1740
I4WVk_PAgYM,870,29,30,30,training,870
zoG3pH8vwyE,180,6,30,30,training,180
h8c2a50JJIc,551,19,29,29,validation,551
K8iHGORwbHs,390,13,30,30,training,390
tOfizU1ooKA,150,5,30,30,validation,150
1rEqtJf7neA,450,15,30,30,training,450
amKMMoqMPn8,180,6,30,30,null,180
C6WlFK0A_o4,174,6,29,29,validation,174
Uvt-erJqz-c,145,5,29,29,validation,145
yCR84RUCKUA,144,6,24,24,null,144
JDlRCalqAwY,150,5,30,30,training,150
6ct16R02onk,145,5,29,29,training,145
jzrMoN9GT-E,150,5,30,30,training,150
jWTVTyVCRxI,377,13,29,29,training,377
U4HECpBszIg,448,16,28,28,training,448
#NAME?,145,5,29,29,training,145
NaU12a1AjYk,330,11,30,30,training,330
FNNmh2gClnY,500,50,10,10,training,500
09TGFnRijBU,1250,50,25,25,training,1250
9gSF_RUu3ik,1250,50,25,25,null,1250
ruhlwpAD2pM,1500,50,30,30,null,1500
my-eKXLtNvM,1450,50,29,29,training,1450
oglCr_XoqOA,1624,56,29,29,training,1624
b9UgfMFLlLU,1450,50,29,29,training,1450
zLN3ItHz3fg,1711,59,29,29,training,1711
qr3Jitsdz60,1450,50,29,29,training,1450
CdoqRQ4rhjM,1450,50,29,29,null,1450
C24MoXZDzBc,1300,52,25,25,validation,1300
0IzeTv38fIo,500,50,10,10,null,500
PrdaQiGURRE,1525,61,25,25,training,1525
xVUjQIEfhiM,1450,50,29,29,training,1450
K9C3hSpFxA8,1708,61,28,28,training,1708
8U4gXc0LItQ,1200,50,24,24,training,1200
tVxpZeI-b00,1740,58,30,30,training,1740
2aSfZdANuRY,1479,51,29,29,training,1479
lt8EC0Y4jYc,1450,50,29,29,validation,1450
e91juTMPXQI,3857,133,29,29,training,3857
TCYPyo2Jv9U,1500,50,30,30,training,1500
b4XgzlACg7k,1250,50,25,25,training,1250
QHKm04XGzu0,1250,50,25,25,training,1250
BTjYiiGuvFk,1450,50,29,29,training,1450
3OAJHsNzYkA,3300,110,30,30,training,3300
6L9rax-Hu6c,1470,49,30,30,validation,1470
8026lbP4WIY,4089,141,29,29,validation,4089
BOnXsf3wb-I,5278,182,29,29,training,5278
vRctlB-SBxI,1508,52,29,29,validation,1508
hhyjAebTsfM,1500,50,30,30,training,1500
asoY7WcjMbE,1560,52,30,30,validation,1560
fp00lhTzzlE,1860,62,30,30,training,1860
xy0PERc5SVs,1450,50,29,29,training,1450
dJmfbTnztRw,1450,50,29,29,validation,1450
PF8D3XQQ3IA,1675,67,25,25,training,1675
frePMl6PzvI,1250,50,25,25,training,1250
0K1TzDcKWNQ,1500,50,30,30,null,1500
YDdmd02QVHk,800,50,16,16,training,800
EAWGt_XWLmY,1250,50,25,25,validation,1250
E45EYZHSd5Y,1450,50,29,29,training,1450
QdtSAZLCVuE,1740,60,29,29,training,1740
rH9iPYIgwx0,1450,50,29,29,training,1450
3rWaIdI5UhA,1250,50,25,25,training,1250
FGOErw342R4,1798,62,29,29,training,1798
1FlqDXlkAFI,1150,50,23,23,validation,1150
eNwcOLqBCG8,1450,50,29,29,validation,1450
Kd63VY6uHTs,1680,56,30,30,training,1680
D6NChyw-lXU,1380,60,23,23,training,1380
gtY3sXvIj_8,3654,126,29,29,training,3654
f-QfTJ3s6MM,1450,50,29,29,null,1450
vW9-p8dNf0M,1200,50,24,24,training,1200
QPWPlrSDwTA,5430,181,30,30,training,5430
P6pkByaCzXo,1224,51,24,24,training,1224
klcEh9jzm80,1500,50,30,30,training,1500
VkPcBDrMDgw,1590,53,30,30,training,1590
BvsZYrthnHQ,1500,50,30,30,training,1500
5WEx-WJDzLQ,1450,50,29,29,validation,1450
XFfireTO1Fc,1500,50,30,30,training,1500
_EDCV0xEoSA,1450,50,29,29,training,1450
8DbIFhr0uQY,1680,56,30,30,training,1680
We_OyuM1LEc,1479,51,29,29,training,1479
lVNM4QcSxFI,690,69,10,10,training,690
v34TzsLXkP4,1798,62,29,29,training,1798
esiMfI9JA0A,1682,58,29,29,null,1682
IWiME6Ffteo,1450,50,29,29,validation,1450
T4aUSh93kaU,3780,126,30,30,training,3780
mALAuSraWEU,1500,50,30,30,training,1500
rCiysel88a0,1450,50,29,29,validation,1450
krGqoBiWOEc,1500,50,30,30,validation,1500
IMyjlkkSTCI,1450,50,29,29,validation,1450
hHLSpw9aSdQ,1450,50,29,29,training,1450
WTLX8Was4II,1830,61,30,30,training,1830
Qeh_DD7c5NU,15000,500,30,30,training,15000
0M4nqYRqyiU,15210,507,30,30,validation,15210
85Sg9pYhjEI,14500,500,29,29,null,14500
m-Y-0F6et4U,15450,515,30,30,training,15450
oHxcPwOoT_s,13150,526,25,25,null,13150
dU3npiryRrY,14674,506,29,29,validation,14674
JGgCRYDoXlo,14790,510,29,29,training,14790
9qgMfKteR4Q,15870,529,30,30,null,15870
4-f4LrEhDfc,750,50,15,15,null,750
lvP7q1-FdWk,1479,51,29,29,validation,1479
p07dwn0z0Uc,5220,180,29,29,null,5220
yp-rC2UiAcg,1479,51,29,29,validation,1479
q4aV2JJT--A,1479,51,29,29,training,1479
n1MgV9PJB6A,1479,51,29,29,null,1479
KAlY9uybru4,1196,52,23,23,training,1196
NC7p0CUYUfA,1653,57,29,29,training,1653
r9WsdWS6Lsk,1275,51,25,25,training,1275
eChyLmjxmyM,1800,60,30,30,validation,1800
18D31D9L_ak,1479,51,29,29,null,1479
#NAME?,1275,51,25,25,training,1275
4hivRFp4rkI,1479,51,29,29,training,1479
ESmY8z7UGGU,1479,51,29,29,training,1479
Jzyq3dFHgbk,3060,102,30,30,training,3060
VqkXBcWVZCo,1479,51,29,29,training,1479
GE4U5u1j-Ms,1530,51,30,30,null,1530
ladWViJ-BVI,1530,51,30,30,training,1530
C1E1UxTx0Fs,2001,69,29,29,training,2001
LbOKxj3RNFk,1530,51,30,30,training,1530
BkiRRpqBOu0,1530,51,30,30,training,1530
1rwkc0ZukBY,1275,51,25,25,null,1275
SlS_McyduuQ,1537,53,29,29,validation,1537
#NAME?,1537,53,29,29,training,1537
1W0LA5RO5qY,1479,51,29,29,validation,1479
7eImbm98Eqc,2700,90,30,30,validation,2700
6fF02eZypqk,2950,118,25,25,validation,2950
aHcSdatGG9w,1900,76,25,25,null,1900
dkeSvs58uhU,1479,51,29,29,training,1479
gjlZqrRYsw8,1275,51,25,25,training,1275
bEvtrcJUitc,1479,51,29,29,training,1479
n5BeKFCoY3Q,1798,62,29,29,training,1798
jzLV7qEm4e8,5046,174,29,29,validation,5046
GjLjaBIl0qM,1530,51,30,30,training,1530
76-qLJUqBX0,1530,51,30,30,training,1530
4nejRy03y8w,510,51,10,10,training,510
bLNZL0ma-HM,1479,51,29,29,training,1479
PMQ-nZj1mOU,1530,51,30,30,training,1530
5urzZdM1Bms,1479,51,29,29,training,1479
OdnafqG3vGk,1530,51,30,30,training,1530
uxyE6KpUEgI,2142,153,14,14,training,2142
UzkqqyORpUY,1479,51,29,29,training,1479
Bw5zKSTL6UI,1530,51,30,30,null,1530
inF-nfCdOAs,1377,51,27,27,validation,1377
d2pWLxBTVxs,1530,51,30,30,validation,1530
J4wHlcBkLs4,1530,51,30,30,training,1530
dMvGiBjWpRs,1479,51,29,29,training,1479
puy9yQd_hdk,1682,58,29,29,training,1682
mn1-mtmO0Cg,1530,51,30,30,training,1530
8BHhn9yc1BY,1224,51,24,24,training,1224
H2PYDV75L7U,1620,54,30,30,training,1620
#NAME?,1479,51,29,29,training,1479
_1vk6-HfolA,1173,51,23,23,training,1173
odBqcTJy7IU,2040,68,30,30,training,2040
MOBEsLyx5yw,1620,54,30,30,validation,1620
g9d3LKxFjjk,1479,51,29,29,training,1479
QyJCT3iZjFA,1479,51,29,29,training,1479
BuuvAFp-PmI,1530,51,30,30,training,1530
YQceiCC7sDE,1656,69,24,24,training,1656
1IjZOc9ukP0,1224,51,24,24,training,1224
dlYGewohOLE,1479,51,29,29,training,1479
PuB9PeMfTfU,1325,53,25,25,training,1325
Mj3qD1DbYDY,1377,51,27,27,training,1377
hn-SsIxQ79s,1530,51,30,30,training,1530
9WbebM__v_Q,1530,51,30,30,training,1530
_WJofipk0Mo,1479,51,29,29,training,1479
ivaFSBkDb1Q,13000,520,25,25,training,13000
NLFUwJB-LNM,14877,513,29,29,training,14877
7O_cpGvKsz4,1196,52,23,23,training,1196
fwAwqkFWoZU,1508,52,29,29,validation,1508
Q8qTtQwRxqg,1508,52,29,29,training,1508
4sVzAsvGJ0g,1508,52,29,29,training,1508
EMD8SAcgCBg,1248,52,24,24,training,1248
DkEIdkRfBg8,1248,52,24,24,validation,1248
UcUdKR6V3N0,1508,52,29,29,training,1508
i41vcO_wJ3s,1595,55,29,29,training,1595
5mNMd-pQiww,1710,57,30,30,training,1710
BVHVKQWXSm8,1537,53,29,29,training,1537
gcXphzqzU2g,1508,52,29,29,validation,1508
mZD0tSLJ3W4,2494,86,29,29,training,2494
75-iDUxwYMY,1600,64,25,25,null,1600
F598lyNgiYg,2310,77,30,30,training,2310
zZGmiTW-DN8,5340,178,30,30,validation,5340
NL7uvGc93nA,1508,52,29,29,training,1508
o-18_2LN2C4,1508,52,29,29,training,1508
ZFdGF6cwOkM,784,56,14,14,null,784
ThzaQLpUhZk,1508,52,29,29,training,1508
NNo9-IWcQ_w,780,52,15,15,training,780
WXcH7s6kl6w,1711,59,29,29,training,1711
0Xc5UeAI6hk,1653,57,29,29,training,1653
ot1Aq1DVJRY,1560,52,30,30,training,1560
pHJMr902VJQ,1560,52,30,30,training,1560
RH57e_CPvBM,1560,52,30,30,training,1560
m3Nay-_TWOI,3161,109,29,29,validation,3161
ZEz9fRXZIb0,1450,58,25,25,training,1450
kzIyOSn2aRM,1595,55,29,29,training,1595
GP47qLDAwgI,1300,52,25,25,training,1300
x9dyAeR-_kg,1798,62,29,29,training,1798
I1nvHEe99ro,1508,52,29,29,training,1508
y5vKgFdIgl4,1508,52,29,29,training,1508
sYX88DgGV5w,1560,52,30,30,training,1560
McOGNeunP94,1560,52,30,30,null,1560
qVANKJBxBtY,4553,157,29,29,training,4553
oXnbD1M7eOI,1769,61,29,29,validation,1769
7Vy8DqONCo4,1682,58,29,29,training,1682
z9FIgA3v_hM,1560,52,30,30,training,1560
mr3EAeVbLoI,1120,56,20,20,training,1120
TxioEA9oR9U,1508,52,29,29,null,1508
q4d7o52lz_Q,1560,52,30,30,training,1560
P6fFK_6Eu5w,1560,52,30,30,validation,1560
g0hlpMtNuKI,1560,52,30,30,training,1560
s79j8pEBgOc,1248,52,24,24,training,1248
D4OiT8qplFU,1595,55,29,29,validation,1595
EjKoxzEw0U4,1508,52,29,29,training,1508
-2Cp-ZTE_9M,1508,52,29,29,training,1508
7b2WWUFaS6g,1300,52,25,25,training,1300
vivLzolfkxo,1508,52,29,29,training,1508
YSOg7dqVxXA,1560,52,30,30,training,1560
LemmY57jOpY,1890,70,27,27,training,1890
40ztZtsA4zM,742,53,14,14,training,742
uSSwomDfDMo,1508,52,29,29,training,1508
2k1h2Gz0hKI,1508,52,29,29,training,1508
ExyGNh-RkU4,780,52,15,15,training,780
rINi6uSyojk,1196,52,23,23,training,1196
lMegKW3PcVc,1508,52,29,29,training,1508
3jMyJuD6q8c,15690,523,30,30,training,15690
Fewanjn-zcc,15690,523,30,30,training,15690
WLxrWGhbTOw,15225,525,29,29,validation,15225
R_H_17v1pyw,15810,527,30,30,training,15810
cf9k-in6OL0,16200,540,30,30,null,16200
nVaQBgRX0Pg,1590,53,30,30,validation,1590
tw6vqdNpp5Q,1624,56,29,29,validation,1624
f3sjq1Exj5U,1566,54,29,29,training,1566
dt7Sp0x7t6s,1537,53,29,29,training,1537
Z0nGDx-lfh8,1537,53,29,29,training,1537
ks42envZjCo,1650,55,30,30,training,1650
gGUwN91U-Jg,1537,53,29,29,training,1537
vF18KyDOPsA,1537,53,29,29,null,1537
ll_rlEffgyM,1537,53,29,29,validation,1537
YQmF_AzjjLU,1537,53,29,29,training,1537
GmF63H7KeH8,1590,53,30,30,null,1590
5nptCxQ6JE0,3103,107,29,29,training,3103
wD2BH6l3HD8,1590,53,30,30,training,1590
SJ4zkUMw9MU,1590,53,30,30,null,1590
QV7jNLc_PGA,530,53,10,10,training,530
4BWCyks9Zg0,1653,57,29,29,training,1653
sQAkQOMsioo,1325,53,25,25,training,1325
400dUnIsOsE,3973,137,29,29,training,3973
gif5Wn8TVP4,1827,63,29,29,validation,1827
zPFa2yZD8OA,1537,53,29,29,validation,1537
sSQfl39pdCs,1537,53,29,29,training,1537
LlRZU7R6MH0,1595,55,29,29,training,1595
ukkLrrl6Hr0,1740,58,30,30,training,1740
EwzU7SEXN2Q,1590,53,30,30,training,1590
kw9SB68M9Sc,1590,53,30,30,null,1590
J2_ufXmEjjQ,1590,53,30,30,null,1590
_VV5YTUilHI,1537,53,29,29,training,1537
1ydnZf1QiLE,1620,54,30,30,training,1620
Dd_MuM-leYU,1914,66,29,29,validation,1914
iNbK3QD_ejE,1590,53,30,30,null,1590
3x3CYTnau7w,1590,53,30,30,training,1590
q0SDahdSCAs,1537,53,29,29,validation,1537
UplHMEKxWN8,1537,53,29,29,null,1537
Jvcpc9PlfvE,1590,53,30,30,training,1590
KHmQGwSC0a8,1166,53,22,22,validation,1166
_BChttiSPmA,1920,64,30,30,training,1920
6wL-mCIlS4o,1242,54,23,23,training,1242
ysaBCg7mgKo,1350,54,25,25,training,1350
uR4iig0S7T4,1325,53,25,25,training,1325
l3-DyRBbrIs,1537,53,29,29,training,1537
Bqmw93YEjkE,1740,60,29,29,null,1740
I0fo3KXwl-Q,1620,54,30,30,validation,1620
wmhvf5ehuQs,1860,62,30,30,training,1860
EBT2EHbfT-w,1590,53,30,30,validation,1590
2P8tdVDQgqU,1798,62,29,29,training,1798
lDcNj1oA604,1590,53,30,30,training,1590
a45suyzo3CU,1827,63,29,29,training,1827
4PGRsoZH8MQ,1566,54,29,29,training,1566
Qa9mBd5KGus,1219,53,23,23,training,1219
KQfZGm8fdg8,1620,54,30,30,training,1620
tjuCVmWtBrU,1537,53,29,29,null,1537
6RFPdpPm3r0,1590,53,30,30,training,1590
q5D0Bv5paLM,1653,57,29,29,validation,1653
eNWza2s_nXo,1590,53,30,30,training,1590
6Jd_4lBdsyk,1827,63,29,29,validation,1827
8oTPkfkLYSM,1537,53,29,29,training,1537
mnDl9ZyGKlE,1537,53,29,29,training,1537
GsBjmEkSfTM,1770,59,30,30,training,1770
JdftrYQ9hqs,1590,53,30,30,training,1590
gVVKETLnVk8,1620,54,30,30,training,1620
mztbtdEI4wo,1769,61,29,29,training,1769
ECbwszguS_Y,1595,55,29,29,validation,1595
i1gmoueWT18,1682,58,29,29,training,1682
hLmCTtHowL4,1800,60,30,30,null,1800
lozrr1GPjHY,1682,58,29,29,validation,1682
_eBVNYYUHH4,1590,53,30,30,training,1590
Zmu7OhkgdLg,1325,53,25,25,training,1325
4EV7BKdFvEU,1925,77,25,25,training,1925
wdILn3QlAWY,1450,58,25,25,training,1450
5bwBOlIA0LA,1537,53,29,29,training,1537
6HRqJm3zbr0,1590,53,30,30,training,1590
fbeEBRmYjRU,1650,55,30,30,training,1650
TbCRS30yIUw,1590,53,30,30,validation,1590
PMhBvJNoeuw,12768,532,24,24,training,12768
SQLMMs7U7-g,16020,534,30,30,validation,16020
JCrlDvE5F3o,15515,535,29,29,training,15515
LBZae6WQ4KQ,1620,54,30,30,training,1620
28wkJC92eOM,1537,53,29,29,training,1537
K5uUNY137tU,1653,57,29,29,null,1653
fGRscmb6udo,1350,54,25,25,training,1350
x75BX2jj5js,1566,54,29,29,training,1566
GlTkSWxb1qk,1566,54,29,29,training,1566
chys9msS_Es,1595,55,29,29,training,1595
zS61yqtfp4s,1624,56,29,29,null,1624
027ytFsxEvA,1620,54,30,30,training,1620
gs44pPf5O3s,1560,65,24,24,training,1560
sSDXBpeHSDs,1350,54,25,25,training,1350
6_KmUCiqPUQ,1798,62,29,29,training,1798
1uUfrKVHamg,1620,54,30,30,training,1620
FtNQNx2xs1o,1620,54,30,30,training,1620
nibVLPBg3ys,1620,54,30,30,training,1620
__WrzHhmEnc,1620,54,30,30,training,1620
1yhg64DWEfI,1566,54,29,29,training,1566
Kuny5IokLTY,1566,54,29,29,training,1566
pQa3deC8vXk,1620,54,30,30,training,1620
TZjL04NPNig,1595,55,29,29,validation,1595
3JLscLH87yA,1566,54,29,29,training,1566
OPvsfNg_5TA,1566,54,29,29,training,1566
h6eZSrmyc1s,1566,54,29,29,training,1566
NBPcj78aMqI,1080,54,20,20,training,1080
RKaF7bo1aNw,1620,54,30,30,null,1620
mOk7Z3Pid2M,1566,54,29,29,training,1566
6EyH8i06iCg,1620,54,30,30,null,1620
Lr3AL4eCvh8,1566,54,29,29,validation,1566
#NAME?,1425,57,25,25,training,1425
HaemcdF_IHA,1620,54,30,30,training,1620
X0Y3DOAQp9A,1624,56,29,29,training,1624
Yli0RasqF5I,1620,54,30,30,validation,1620
sKJ2QXvXuH8,1620,54,30,30,null,1620
Ibognm_eNKU,1566,54,29,29,validation,1566
CCzswplGq6A,1566,54,29,29,validation,1566
MrxOa_yQkcQ,1566,54,29,29,validation,1566
YiyRV-LM5FM,1680,70,24,24,training,1680
YjQ2UBHz_Nw,1350,54,25,25,training,1350
4NZ59WpSnoM,1624,56,29,29,training,1624
DCOgBxXVsHU,1972,68,29,29,training,1972
#NAME?,1950,65,30,30,training,1950
arsHsIxHeMQ,1620,54,30,30,training,1620
RE42yVRuUf0,1566,54,29,29,validation,1566
ZLvGXc9AXIY,1595,55,29,29,training,1595
0Q7NF_qxJO8,1620,54,30,30,training,1620
RfF09D9lx5w,1620,54,30,30,training,1620
wMcRjl2K_6k,1620,54,30,30,training,1620
ISIGhCubYgs,1595,55,29,29,training,1595
Imdahnb7QyE,1350,54,25,25,training,1350
#NAME?,2436,84,29,29,training,2436
ilZkC0fm358,1620,54,30,30,training,1620
ieQJmbZ5aj8,2100,70,30,30,training,2100
WU8M2BGQ2OQ,1620,54,30,30,null,1620
8l5x6a8gpMg,6351,219,29,29,training,6351
wxs0c-sQ-Mg,1595,55,29,29,training,1595
xjFdSqxnDzE,1350,54,25,25,null,1350
t7J9e1Pwgp0,1710,57,30,30,training,1710
rhqf-Wm0tk8,1620,54,30,30,null,1620
k5lW6J7ZjY0,1682,58,29,29,training,1682
SmmTe8q-BA8,1375,55,25,25,training,1375
PevwEzJIZ8M,1620,54,30,30,training,1620
4xcjMf8OG2Y,1566,54,29,29,training,1566
l0FbBb1SV2s,756,54,14,14,null,756
KmLG4K0yStE,1680,56,30,30,training,1680
TJArrR4VZIg,1798,62,29,29,training,1798
tlp9dY_26yk,1620,54,30,30,training,1620
DjwMtL0zPQI,1620,54,30,30,training,1620
oosDP80MKPw,17130,571,30,30,training,17130
Fb9O4Mla95w,15660,540,29,29,training,15660
WcZyad9V4C8,15747,543,29,29,validation,15747
c51RAhyv06U,15776,544,29,29,training,15776
qurBXmoaYpo,16560,552,30,30,training,16560
NBfVlJ_8-cA,16410,547,30,30,validation,16410
drfQNNbRiWU,13848,577,24,24,training,13848
76k35vqBNv4,16410,547,30,30,training,16410
rEEQuAb7v3c,16650,555,30,30,training,16650
1hYLDW_ku2w,1566,54,29,29,training,1566
17jEw6Njsag,1566,54,29,29,training,1566
a7HwA3rG_rI,1650,55,30,30,training,1650
4GvS_qreuoc,1400,56,25,25,validation,1400
3ggFrIoKutU,1566,54,29,29,null,1566
t7zo-zibBW4,1650,55,30,30,training,1650
vz0vA2ZC_Q0,1650,55,30,30,training,1650
nnk554FFsqY,1827,63,29,29,null,1827
Y9HHPY-s8AA,2300,92,25,25,training,2300
UKQcWFofcMc,1650,55,30,30,training,1650
rR9_nzFCYrs,1650,55,30,30,validation,1650
0ynLRB1U30Y,1710,57,30,30,training,1710
jhAsc18B0do,1653,57,29,29,training,1653
uNSd0jN-DQI,2320,80,29,29,training,2320
RqvM1gXLngw,1368,57,24,24,validation,1368
muQUSYaGVn4,810,54,15,15,validation,810
8-Cddquo4vI,1595,55,29,29,training,1595
nGaOt_mn5ho,1650,55,30,30,training,1650
#NAME?,1680,56,30,30,training,1680
felXkCElNJM,1650,55,30,30,training,1650
8oPGq2l-kzE,2262,78,29,29,training,2262
Y9FPGWOTIKQ,1595,55,29,29,training,1595
9vXYtynwPYI,16830,561,30,30,validation,16830
ek1o3VGcrGM,1856,64,29,29,training,1856
IYNQzt-2rNI,1650,55,30,30,validation,1650
_Giwi0ePhjU,2204,76,29,29,training,2204
Ah8o9qejwJE,1375,55,25,25,training,1375
Tnow4-q8qfY,1680,56,30,30,training,1680
Ihcj_DREFuU,1595,55,29,29,training,1595
idRc_fYo6fI,1650,55,30,30,training,1650
z-6jDAI6_MA,4727,163,29,29,validation,4727
ZWiOUKqyguI,1595,55,29,29,training,1595
EaJfhi7iCns,1650,55,30,30,training,1650
ZOyk8YRLSe4,1650,55,30,30,training,1650
oAVMdRbKaSE,1595,55,29,29,training,1595
6kgFiwKQ52M,1650,55,30,30,training,1650
AVdCxorDAsc,4710,157,30,30,training,4710
zz_brERAg1k,2100,70,30,30,validation,2100
#NAME?,3190,110,29,29,training,3190
OLQl20wmZI0,1800,60,30,30,null,1800
LQuLCN0hst4,550,55,10,10,training,550
0W4lfoAgf5A,1653,57,29,29,validation,1653
49kXN3pt2aw,1710,57,30,30,training,1710
K4L_nmy6YPQ,1595,55,29,29,training,1595
moXBWEbDahM,1856,64,29,29,training,1856
NsRltRkxpAA,2220,74,30,30,null,2220
cuCXFHbyHbI,1650,55,30,30,training,1650
EQGhH-V4qXU,1650,55,30,30,validation,1650
wh-rPy-OHrI,1890,63,30,30,training,1890
CR4DHoRGIV0,2277,99,23,23,training,2277
NK8yvGni2HY,1650,55,30,30,training,1650
KpjuO3Q-ARA,1595,55,29,29,validation,1595
asKmaH0zR3w,1950,65,30,30,null,1950
0ix3uHBVvT8,1650,55,30,30,null,1650
okeHQUBmX_c,1770,59,30,30,training,1770
sSgh0ds7nrY,1595,55,29,29,validation,1595
VmrsgDolowg,1595,55,29,29,training,1595
nzopjLkEK8Y,2640,88,30,30,training,2640
uZFxS8UAG90,1595,55,29,29,training,1595
qBm_MmqO80A,1320,55,24,24,training,1320
7AStFf2BKOE,2310,77,30,30,training,2310
TTWhNGELlwQ,1650,55,30,30,training,1650
Cf3FtU3etRY,1710,57,30,30,validation,1710
I4LVokewVwM,1265,55,23,23,validation,1265
jnV-9MDj5b8,1595,55,29,29,training,1595
Aj0fAk4UNYM,1885,65,29,29,training,1885
gb6mRqMUxB4,1449,63,23,23,validation,1449
dq0YMP1FrSA,1650,55,30,30,training,1650
Vdh5Vbu2iz4,1650,55,30,30,training,1650
lJqEtpbX6oY,1682,58,29,29,training,1682
InNnO7Lkons,1650,55,30,30,training,1650
NoOAuvJrV7g,1680,56,30,30,training,1680
bhV8VsAOVOk,15950,550,29,29,training,15950
TJi3sR_0IFE,15950,550,29,29,training,15950
y5miRSb13oc,16037,553,29,29,validation,16037
OLV4grBcOHI,8340,556,15,15,validation,8340
_KdfCU7Pffw,1680,56,30,30,training,1680
rzrjW6i82HU,1650,55,30,30,training,1650
NvgEFK7Zaac,1624,56,29,29,training,1624
LFUWf1A0WUA,1650,55,30,30,validation,1650
SWKzkR8aM9M,1624,56,29,29,validation,1624
ZVgHIlt33Nk,1624,56,29,29,training,1624
i8Whm5Nw7oU,1680,56,30,30,training,1680
fAlYxC9PtRQ,336,56,6,6,training,336
kQnjNfTV2tI,1680,56,30,30,training,1680
pmJAr5eKncY,1710,57,30,30,validation,1710
10w63oHxn8w,1680,56,30,30,training,1680
wuqEK78W4a8,3060,102,30,30,training,3060
